,prompt,expected_completion,actual_completion
507,"PRICE - 1st week move in special! Call 708-794-0411 We offer a safe, clean and affordable stay for you and yours. 9am-10pm Front desk staff to assist for all your needs. always staff on-site and 24hr camera monitoring Queen suites (non-smoking) Great, all-inclusive prices. Save Hundreds Every Month NO Lease – move out when it fits your schedule No Deposit – move in any time Kitchen with full size fridge, 2 burner stove, full size microwave Open face closet 42"" High Def TV with free cable Spacious bathroom with amenities supplied Hardwood floors ADA rooms for handicap Free Basic WI-FI Is rent cheap, average, or expensive? <SEP>
", average, cheap
563,"PROPERTY INFO ID: 159118714 Rent: PRICE / Month Beds: 1 Bath: 1 Available Date: 06/01/2023 Pet: Pet Friendly Parking:: no parking The building amenities will include secure intercom entry, security cameras, a bike room and a new laundry facility. Just steps to the Logan Square Blue Line station and Milwaukee Avenue. This unit has a large modern living space with freshly refinished grey hardwood floor, a large bedroom, a walk in closet, a luxurious eat in kitchen equipped with stainless steel appliances, dishwasher and quartz counter tops. The updated bathroom has stone tile and a modern vanity. Call, text or e-mail for more info or to schedule an appointment. Conveniently located, this courtyard building is within walking distance from everything Logan Square has to offer! These rehabbed studios and 1-bedrooms offer spacious layouts, vintage details, eat-in kitchens and walk-in closets. Property Amenities: * 24-Hour Maintenance * In-Building Laundry * Secure Intercom Entry * Bicycle Storage * Less than 1 Block from Logan Square Blue Line Stop on the ""L"" Call or Text Jacob Brown at 630-240-3101 FEATURES Bike Room/Bike Trails Cats Ok Dogs Ok Intercom On-Site Laundry Radiator Heat Jacob Brown Leasing Agent The Apartment Source Call or Text: 630-240-3101 The Apartment Source Call or text: 773.404.9900 Is rent cheap, average, or expensive? <SEP>
", average, cheap
23,"PROPERTY INFO ID: 9049471 Rent: PRICE / Month Beds: 1 Bath: 1 Pet: Cats Allowed Parking:: attached garage River North Living with a balcony. Super Spacious Jr 1 bed with a great view of the city. 100 of 100 on walk <URL>. 1 minute to whole foods and 4 minutes walk to redline. 10 minutes to the beach. Perfect location Call me at 219-299-9042 ask for Apollo. Ideally situated between the River North and Gold Coast neighborhoods, this uber-central location has a Walk Score of 100 out of 100 meaning you’ll have easy access to everything you need, including trendy shops, endless dining options and a short hop to Michigan Ave. The CTA Red, Brown and Purple Lines are all within 3 blocks and you’ll be just a 10-minute walk to the lake! This spectacularly-located property offers a sundeck, outdoor pool, and on-site gym, in addition to on-site maintenance, dry-cleaning, package receiving and 24-hour door staff. Every apartment has an upgraded kitchen, with wood cabinets, granite countertops, and stainless steel appliances. All bathrooms are also upgraded with wood cabinets, granite counters and new lighting. These generously-sized units are highlighted with tons of closet space and private balconies. Parking is available on-site at an additional charge and cats are welcome. FEATURES Balcony-All Units Central Air-Yes Dishwasher-All Flooring-Carpet Only Laundry-On Site Pool-Outdoor Security-24 Hour Doorman Smoking-No Stove-Electric Value Property Apollo Russell (219) 299-9042 HotSpot Rentals(License #481.011892) Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square Is rent cheap, average, or expensive? <SEP>
", cheap, average
555,"853 West Agatite large 1 bedroom PRICE  Available ASAP A must SEE!!!! Spacious one bedroom and one bathroom apartment. Heat and water are included Minimum 600 credit score and verifiable income of PRICE a month cosigners are OK Pet friendly (no aggressive breeds) PRICE application fee PRICE move in fee PRICE annual pet fee if applicable Is rent cheap, average, or expensive? <SEP>
", average, cheap
90,"PROPERTY INFO ID: 184741624 Rent: PRICE / Month Beds: 1 Bath: 1 Pet: Pet Friendly Call/Text Azalia at 630.853.6340 for the quickest response Water, Trash, Sewer and Internet INCLUDED In the rent price Situated right off the lake, this historic luxury building boasts all the modern conveniences while basking in sophistication. Step inside each apartment and you’re greeted with crown molding, hardwood flooring, upgraded kitchens with granite countertops and stainless steel appliances. Ample windows allow plenty of natural light and spacious closets eliminate storage problems. Card-operated smart laundry facilities are available to meet your needs. Residents also enjoy a fitness center, club room, and a sky deck offering stunning lake views. Located in Uptown’s West Argyle Street Historic District, you’ll find many conveniences steps outside your door. Within a 10-minute walk, you’ll find the CTA Argyle Red line, Mariano’s, Chicago Public Library, and some of Chicago’s best pho right on Argyle. In addition, the building is located adjacent to Uptown’s Entertainment District, with Aragon Ballroom, Riviera Theatre, and Green Mill Cocktail Lounge. Pets are welcome, although breed and weight restrictions apply. Fido will also enjoy the lake with Puptown Dog Park and Montrose Dog Beach a short walk away. Parking is available on-site at an additional fee. FEATURES Balcony-None Central Air-No Dishwasher-All Dogs-Weight Limit Fitness Center Flooring-Hardwood Only Laundry-On Site Security-Intercom/Key Fob Smoking-Yes Stove-Electric Value Property Azalia Allen 630-853-6340 HotSpot Rentals(License #481.011892) Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square Is rent cheap, average, or expensive? <SEP>
", expensive, average
120,"2230 N. Sawyer Logan Square Radiant one bedroom, one bathroom gut rehab in the heart of Logan's Square. Featuring new kitchen with beautifully modern cabinets, stainless steel appliances, dark hardwood flooring throughout, central heat and air conditioning, queen size bedrooms, lots of closet space, large combo living and dining room, stone bathroom with walk in shower, tall ceilings, in unit laundry in addition a nice spacious rear deck, Close to restaurants, shopping, night life and public transportation! Please Call Rebecca Bush at 323/445-0360‬ to schedule an appointment to view this apartment and mention Apartment ID: 31620. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", expensive, average
0,"Call Apartment Guys at 773-549-3474 and ask for reference #2201732. This beautifully rehabbed apartment has new quartz countertops, stainless steel appliances including a dishwasher and microwave, new hardwood floors and enjoy the amazing view from your balcony! Prices are subject to change. ***Photos may be of a similar unit.****For faster response best to call or text 773-549-3474 with reference #2201732 Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
172,"Ravenswood 1 Bed, 1 Bath 2102 W. Ainslie Available: Now PRICE per Month Stunning one bedroom one bathroom in the heart of Ravenswood features heat included, rehabbed kitchen with stainless steel appliances, dishwasher, separate dining area, spacious living room, large bedroom, amazing closet space, hardwood floors throughout, updated bathroom, laundry room in building, and pets are welcome. Just steps to transportation, nightlife, shopping, and more! UA1701 Heat Included: Yes Air Conditioning: No Dishwasher: Yes Laundry: In Building Flooring: Hardwood Parking: Street Pets: Cats and Dogs OK Square Feet: 700 Apartment ID: 24134 Please call or text Mary Ann de la Cruz at 773/852-3421 to schedule an appointment to view this apartment and mention Apartment ID above. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", average, average
207,"Bright & Sunny apartment in East Lakview! WIFI, Heat, cooking gas and water included! Unit Features: Updated eat-in kitchen with maple cabinets and stainless appliances with dishwasher. Hardwood Floors throughout. Spacious bedroom. Great closet space. On-site laundry. Intercom Entry. Bike Storage. Cats welcome. Close to shopping, restaurants, and transportation. Walking distance to park and lakefront Cats OK. Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
530,"ROOSEVELT & MASON 2 BEDROOM APARTMENT EVERYTHING BRAND NEW SECTION 8 WELCOME HARDWOOD FLOORS APPLIANCES CLOSE TO OAK PARK NO SECURITY DEPOSIT MOVE IN FEE PRICE SHY 773=414-6797 Is rent cheap, average, or expensive? <SEP>
", average, average
